beta,block_size,conditioning,dense_ms,dense_peak_incremental_bytes,density_mean,density_p10,density_p90,density_std,dimension,error_reduction_fraction,exact_cosine,exact_ms,exact_peak_incremental_bytes,exact_relative_l2,exact_speedup_over_dense,family,full_map_route_ms,head,head_dim,label,latent,layer,length,model_id,moment_aux_bytes,moment_route_ms,moment_route_speedup,proxy_map_bytes_avoided,rank,routing_aux_reduction,seed,sequence,sol_cosine,sol_kernel_memory_ratio_to_dense,sol_kernel_ms,sol_kernel_peak_incremental_bytes,sol_kernel_speedup_over_dense,sol_ms,sol_overhead_vs_exact,sol_peak_incremental_bytes,sol_relative_l2,sol_speedup_over_dense,source,spatial,stream_count_match_fraction,stream_count_matches_full_map,stream_count_max_abs_difference,stream_density_mean,target_density_gaussian,tensor_source,threshold_moment_max_abs_error
0.67448975,64,,1.1299519538879395,4195328,0.25098419189453125,0.236328125,0.263671875,0.010744265280663967,64,0.5805293467455002,0.48401451110839844,1.233465576171875,8519680,1.822662353515625,0.9160790343211722,random,0.2797951936721802,,,sparsity-calibration-32k,,,32768,,18944,0.2924544095993042,0.9567138825348246,1048576,3,55.351351351351354,223,,0.6719281673431396,,,,,1.635660743713379,0.32606922747673095,8519680,0.7645533680915833,0.6908229339310621,density_calibration,,0.984375,False,1,0.25099945068359375,0.2500000000623102,,3.276974894106388e-06
0.67448975,64,,1.1309696197509767,4195328,0.2504310607910156,0.236328125,0.263671875,0.011063389480113983,64,0.5799750149776443,0.5074323415756226,1.212063980102539,8519680,1.712012767791748,0.933093993648172,random,0.28071041107177735,,,sparsity-calibration-32k,,,32768,,18944,0.28695681095123293,0.9782322647831588,1048576,0,55.351351351351354,201,,0.7160046100616455,,,,,1.6056896209716798,0.324756487554263,8519680,0.7190881371498108,0.7043513297835061,density_calibration,,0.97265625,False,1,0.2504310607910156,0.2500000000623102,,3.876455593854189e-06
1.03643339,64,,1.1308095932006836,4195328,0.15004730224609375,0.138671875,0.162109375,0.009136609733104706,64,0.679985287995619,0.39484652876853943,0.9287232398986817,8519680,2.3744616508483887,1.2175958828423938,random,0.2749567985534668,,,sparsity-calibration-32k,,,32768,,18944,0.28241279125213625,0.9735989553957107,1048576,2,55.351351351351354,211,,0.6681280136108398,,,,,1.3770496368408203,0.4827341210833147,8519680,0.7598626613616943,0.8211828847324254,density_calibration,,0.984375,False,1,0.1500396728515625,0.1499999998819726,,2.463872078806162e-06
1.03643339,64,,1.1281279563903808,4195328,0.15116500854492188,0.138671875,0.162109375,0.009451787918806076,64,0.6790471767650783,0.3751673698425293,0.9323007583618164,8519680,2.506134033203125,1.210047236658544,random,0.2680448055267334,,,sparsity-calibration-32k,,,32768,,18944,0.26927359104156495,0.9954366653258547,1048576,3,55.351351351351354,223,,0.6189496517181396,,,,,1.386796760559082,0.48749933765567155,8519680,0.8043507933616638,0.8134774961080671,density_calibration,,0.978515625,False,1,0.15118408203125,0.1499999998819726,,3.276974894106388e-06
0.67448975,64,,1.112217617034912,4195328,0.2502288818359375,0.236328125,0.263671875,0.010784748010337353,64,0.5793899415112902,0.49903902411460876,1.187001609802246,8519680,1.7501059770584106,0.936997564156806,random,0.2833472013473511,,,sparsity-calibration-32k,,,32768,,18944,0.2842816114425659,0.9967130828811852,1048576,1,55.351351351351354,203,,0.6999378800392151,,,,,1.5773183822631835,0.3288258155993269,8519680,0.7361121773719788,0.7051319692597946,density_calibration,,0.978515625,False,1,0.2502174377441406,0.2500000000623102,,3.803907020483166e-06
1.28155157,64,,1.1267711639404296,4195328,0.10018157958984375,0.08984375,0.109375,0.00803814921528101,64,0.7417636487901502,0.3227366805076599,0.7960063934326171,8519680,3.001431941986084,1.415530293772461,random,0.27652480602264407,,,sparsity-calibration-32k,,,32768,,18944,0.5202303886413574,0.5315429703074843,1048576,2,55.351351351351354,211,,0.6466254591941833,,,,,1.2668736457824707,0.5915370231127586,8519680,0.7750788331031799,0.8894108482653703,density_calibration,,0.986328125,False,1,0.10017776489257812,0.09999999921808483,,2.463872078806162e-06
1.03643339,64,,1.1274751663208007,4195328,0.15035629272460938,0.138671875,0.162109375,0.009204313158988953,64,0.6792742508826215,0.394814133644104,0.9430463790893555,8519680,2.3608970642089844,1.195567038186963,random,0.2801471948623657,,,sparsity-calibration-32k,,,32768,,18944,0.5830527782440186,0.480483423312184,1048576,0,55.351351351351354,201,,0.6724058389663696,,,,,1.3849727630615234,0.46861574761456604,8519680,0.7572004795074463,0.8140775012993637,density_calibration,,0.974609375,False,2,0.15036392211914062,0.1499999998819726,,3.876455593854189e-06
1.28155157,64,,1.127571201324463,4195328,0.10081863403320312,0.091796875,0.109375,0.0078679658472538,64,0.7410578050041816,0.30681508779525757,0.7861631870269775,8519680,3.167269229888916,1.4342711792300826,random,0.2689023971557617,,,sparsity-calibration-32k,,,32768,,18944,0.2628159999847412,1.0231583966401356,1048576,3,55.351351351351354,223,,0.5924264192581177,,,,,1.2737088203430176,0.6201583098285035,8519680,0.8201396465301514,0.8852660696977832,density_calibration,,0.98046875,False,1,0.10081100463867188,0.09999999921808483,,3.276974894106388e-06
1.03643339,64,,1.115392017364502,4195328,0.15049362182617188,0.138671875,0.162109375,0.009490751661360264,64,0.6784301461756512,0.38654088973999023,0.9218239784240723,8519680,2.408771276473999,1.2099837316787407,random,0.27451519966125487,,,sparsity-calibration-32k,,,32768,,18944,0.2773888111114502,0.9896404925682429,1048576,1,55.351351351351354,203,,0.6533124446868896,,,,,1.3555328369140625,0.4704898859665685,8519680,0.7745882272720337,0.8228439673241315,density_calibration,,0.986328125,False,1,0.150482177734375,0.1499999998819726,,3.803907020483166e-06
1.64485363,64,,1.1272831916809083,4195328,0.050048828125,0.04296875,0.05859375,0.006153360940515995,64,0.8199229083384765,0.22850915789604187,0.6525248050689697,8519680,4.370645046234131,1.727571401001006,random,0.268723201751709,,,sparsity-calibration-32k,,,32768,,18944,0.24547839164733887,1.0946918787775188,1048576,2,55.351351351351354,211,,0.6273056864738464,,,,,1.1626432418823243,0.7817609887787127,8519680,0.7870530486106873,0.9695865000305959,density_calibration,,0.990234375,False,1,0.050037384033203125,0.049999999685588194,,2.463872078806162e-06
